rank,company,symbol,ytd_return
455,ROCKWELL AUTOMATION INC,ROK,-10.52%
456,FREEPORT MCMORAN INC,FCX,-10.66%
457,AMERICAN WATER WORKS CO INC,AWK,-11.03%
458,EXPEDIA GROUP INC,EXPE,-11.09%
459,ETSY INC,ETSY,-11.22%
460,STANLEY BLACK + DECKER INC,SWK,-11.33%
461,MOSAIC CO/THE,MOS,-11.45%
462,KEURIG DR PEPPER INC,KDP,-11.46%
463,WHIRLPOOL CORP,WHR,-11.84%
464,KENVUE INC,KVUE,-12.03%
465,HEWLETT PACKARD ENTERPRISE,HPE,-12.07%
466,COMERICA INC,CMA,-12.26%
467,ZIONS BANCORP NA,ZION,-12.42%
468,BAKER HUGHES CO,BKR,-12.70%
469,PAYCOM SOFTWARE INC,PAYC,-12.89%
470,CAESARS ENTERTAINMENT INC,CZR,-12.91%
471,AMERICAN TOWER CORP,AMT,-13.04%
472,EXTRA SPACE STORAGE INC,EXR,-13.18%
473,BIOGEN INC,BIIB,-13.55%
474,APTIV PLC,APTV,-13.60%
475,VENTAS INC,VTR,-13.78%
476,INTEL CORP,INTC,-14.45%
477,GENERAC HOLDINGS INC,GNRC,-14.54%
478,C.H. ROBINSON WORLDWIDE INC,CHRW,-15.00%
479,INVESCO LTD,IVZ,-15.41%
480,BORGWARNER INC,BWA,-15.84%
481,ALBEMARLE CORP,ALB,-15.89%
482,3M CO,MMM,-16.01%
483,FIRST SOLAR INC,FSLR,-16.08%
484,AIR PRODUCTS + CHEMICALS INC,APD,-16.23%
485,FMC CORP,FMC,-16.67%
486,APA CORP,APA,-17.45%
487,VF CORP,VFC,-17.55%
488,SBA COMMUNICATIONS CORP,SBAC,-18.10%
489,HEALTHPEAK PROPERTIES INC,PEAK,-18.28%
490,AES CORP,AES,-19.22%
491,WALGREENS BOOTS ALLIANCE INC,WBA,-19.61%
492,TESLA INC,TSLA,-19.75%
493,CARNIVAL CORP,CCL,-20.28%
494,NORWEGIAN CRUISE LINE HOLDIN,NCLH,-20.51%
495,HUMANA INC,HUM,-21.38%
496,INSULET CORP,PODD,-22.19%
497,BOEING CO/THE,BA,-23.06%
498,CHARTER COMMUNICATIONS INC A,CHTR,-24.71%
499,WARNER BROS DISCOVERY INC,WBD,-24.87%
500,PARAMOUNT GLOBAL CLASS B,PARA,-25.02%
501,ARCHER DANIELS MIDLAND CO,ADM,-26.38%
502,MARKETAXESS HOLDINGS INC,MKTX,-26.95%
503,NEWMONT CORP,NEM,-27.49%
